date,transaction,debit,credit,balance
"Nov. 4, 2013",Invoice no. 20 - NVIDIA,"1,039.90",0.00,"8,864.90"
"Nov. 4, 2013",Payment for Invoice no. 31 - Echologics,0.00,800.00,"8,064.90"
"Nov. 8, 2013",Payment for Invoice no. 14 - Dragados Canada,0.00,800.00,"7,264.90"
"Nov. 8, 2013",Payment for Invoice no. 7 - Intel,0.00,"1,800.00","5,464.90"
"Nov. 11, 2013","Invoice no. 21 - Department of Mechanical and Industrial Engineering, University of Toronto",500.00,0.00,"5,964.90"
"Nov. 11, 2013",Invoice no. 22 - Procter & Gamble,"1,500.00",0.00,"7,464.90"
"Nov. 14, 2013",Invoice no. 24 - Peel Plastic Products Ltd,800.00,0.00,"8,264.90"
"Nov. 14, 2013",Payment for Invoice no. 23 - NexJ Systems,0.00,800.00,"7,464.90"
"Nov. 14, 2013",Invoice no. 23 - NexJ Systems,800.00,0.00,"8,264.90"
"Nov. 18, 2013",Invoice no. 18 - Facebook,800.00,0.00,"9,064.90"
"Nov. 21, 2013",Invoice no. 25 - Kiewit,800.00,0.00,"9,864.90"
"Nov. 26, 2013",Payment for Invoice no. 12 - Newton North America,0.00,300.00,"9,564.90"
"Nov. 26, 2013",Invoice no. 26 - Applanix,900.00,0.00,"10,464.90"
"Nov. 26, 2013",Payment for Invoice no. 26 - Applanix,0.00,900.00,"9,564.90"
"Nov. 26, 2013",Payment for Invoice no. 18 - Facebook,0.00,800.00,"8,764.90"
"Nov. 28, 2013",Payment for Invoice no. 20 - NVIDIA,0.00,"1,039.90","7,725.00"
"Nov. 28, 2013",Payment for Invoice no. 4 - Kijiji Canada,0.00,500.00,"7,225.00"
"Dec. 1, 2013",Invoice no. 28 - Independent Electricity System Operator,800.00,0.00,"8,025.00"
"Dec. 2, 2013",Payment for Invoice no. 16 - Ceridian HCM,0.00,"1,000.00","7,025.00"
"Dec. 2, 2013",Payment for Invoice no. 13 - Tesla Motors,0.00,475.00,"6,550.00"
"Dec. 2, 2013",Payment for Invoice no. 11 - Ontario Power Authority,0.00,450.00,"6,100.00"
"Dec. 4, 2013",Payment for Invoice no. 28 - Independent Electricity System Operator,0.00,800.00,"5,300.00"
"Dec. 10, 2013",Invoice no. 29 - Bell Canada,800.00,0.00,"6,100.00"
"Dec. 13, 2013",Invoice no. 30 - Bionym,450.00,0.00,"6,550.00"
"Dec. 15, 2013",Payment for Invoice no. 30 - Bionym,0.00,450.00,"6,100.00"
"Dec. 17, 2013","Payment for Invoice no. 21 - Department of Mechanical and Industrial Engineering, University of Toronto",0.00,500.00,"5,600.00"
"Dec. 18, 2013",Payment for Invoice no. 32 - OpenCare,0.00,450.00,"5,150.00"
"Dec. 18, 2013",Invoice no. 32 - OpenCare,450.00,0.00,"5,600.00"
"Dec. 23, 2013",Payment for Invoice no. 33 - Makeplain Corporation,0.00,"1,000.00","4,600.00"
"Dec. 23, 2013",Invoice no. 33 - Makeplain Corporation,"1,000.00",0.00,"5,600.00"
"Dec. 24, 2013",Invoice no. 34 - National Bank of Canada,"1,600.00",0.00,"7,200.00"
"Jan. 2, 2014",Invoice no. 35 - Emerson Process Management,800.00,0.00,"8,000.00"
"Jan. 3, 2014",Invoice no. 36 - RateHub.ca,150.00,0.00,"8,150.00"
"Jan. 5, 2014","Invoice no. 37 - Uken Studios, Inc.","1,500.00",0.00,"9,650.00"
"Jan. 6, 2014","Invoice no. 38 - PaperG, Inc.",150.00,0.00,"9,800.00"
"Jan. 6, 2014",Payment for Invoice no. 36 - RateHub.ca,0.00,150.00,"9,650.00"
"Jan. 6, 2014","Payment for Invoice no. 38 - PaperG, Inc.",0.00,150.00,"9,500.00"
"Jan. 7, 2014",Invoice no. 40 - Air Canada,800.00,0.00,"10,300.00"
"Jan. 10, 2014",Invoice no. 41 - CIBC,800.00,0.00,"11,100.00"
"Jan. 10, 2014",Invoice no. 43 - Corrosion Service Company Ltd.,800.00,0.00,"11,900.00"
"Jan. 13, 2014",Invoice no. 44 - SNC-Lavalin Inc.,700.00,0.00,"12,600.00"
"Jan. 13, 2014",Payment for Invoice no. 45 - Unilever Canada,0.00,"1,000.00","11,600.00"
"Jan. 13, 2014",Invoice no. 45 - Unilever Canada,"1,000.00",0.00,"12,600.00"
"Jan. 14, 2014",Payment for Invoice no. 44 - SNC-Lavalin Inc.,0.00,700.00,"11,900.00"
"Jan. 15, 2014",Invoice no. 46 - Samsung,800.00,0.00,"12,700.00"
"Jan. 16, 2014",Payment for Invoice no. 22 - Procter & Gamble,0.00,"1,500.00","11,200.00"
"Jan. 17, 2014",Invoice no. 39 - University of Toronto Institute for Multidisciplinary Design and Innovation,450.00,0.00,"11,650.00"
"Jan. 19, 2014",Invoice no. 47 - Addictive Mobility,750.00,0.00,"12,400.00"
"Jan. 22, 2014",Invoice no. 49 - Prolucid Technologies Inc.,300.00,0.00,"12,700.00"
"Jan. 22, 2014",Invoice no. 48 - LocalGrid Technologies,300.00,0.00,"13,000.00"
"Jan. 23, 2014",Invoice no. 51 - VuPoynt Media Group,50.00,0.00,"13,050.00"
"Jan. 23, 2014",Payment for Invoice no. 50 - ParElastic,0.00,150.00,"12,900.00"
"Jan. 23, 2014",Invoice no. 50 - ParElastic,150.00,0.00,"13,050.00"
"Jan. 24, 2014",Invoice no. 55 - Architech,"1,500.00",0.00,"14,550.00"
"Jan. 24, 2014",Invoice no. 54 - Facebook,642.39,0.00,"15,192.39"
"Jan. 24, 2014",Invoice no. 53 - Communitech,625.00,0.00,"15,817.39"
"Jan. 26, 2014",Invoice no. 56 - Zynga,549.16,0.00,"16,366.55"
"Jan. 27, 2014",Payment for Invoice no. 54 - Facebook,0.00,642.39,"15,724.16"
"Jan. 27, 2014",Payment for Invoice no. 48 - LocalGrid Technologies,0.00,300.00,"15,424.16"
"Jan. 28, 2014",Payment for Invoice no. 34 - National Bank of Canada,0.00,"1,600.00","13,824.16"
"Jan. 28, 2014",Payment for Invoice no. 43 - Corrosion Service Company Ltd.,0.00,800.00,"13,024.16"
"Jan. 29, 2014",Payment for Invoice no. 49 - Prolucid Technologies Inc.,0.00,300.00,"12,724.16"
"Jan. 29, 2014",Payment for Invoice no. 53 - Communitech,0.00,625.00,"12,099.16"
"Jan. 30, 2014",Payment for Invoice no. 51 - VuPoynt Media Group,0.00,50.00,"12,049.16"
"Jan. 30, 2014",Payment for Invoice no. 55 - Architech,0.00,"1,500.00","10,549.16"
"Feb. 2, 2014",Invoice no. 57 - Guru Link Inc.,"1,650.00",0.00,"12,199.16"
"Feb. 2, 2014",Invoice no. 58 - Guru Link Inc.,"1,650.00",0.00,"13,849.16"
"Feb. 3, 2014",Payment for Invoice no. 57 - Guru Link Inc.,0.00,"1,650.00","12,199.16"
"Feb. 3, 2014",Payment for Invoice no. 58 - Guru Link Inc.,0.00,"1,650.00","10,549.16"
"Feb. 3, 2014",Payment for Invoice no. 47 - Addictive Mobility,0.00,750.00,"9,799.16"
"Feb. 7, 2014",Payment for Invoice no. 24 - Peel Plastic Products Ltd,0.00,800.00,"8,999.16"
"Feb. 7, 2014",Payment for Invoice no. 25 - Kiewit,0.00,800.00,"8,199.16"
"Feb. 11, 2014",Invoice no. 59 - Newton North America,200.00,0.00,"8,399.16"
"Feb. 18, 2014","Payment for Invoice no. 37 - Uken Studios, Inc.",0.00,"1,500.00","6,899.16"
"Feb. 18, 2014",Invoice no. 60 - Canadian Youth Business Foundation,500.00,0.00,"7,399.16"
"Feb. 24, 2014",Payment for Invoice no. 59 - Newton North America,0.00,200.00,"7,199.16"
"Feb. 27, 2014",Payment for Invoice no. 3 - Canadian Security Intelligence Service,0.00,900.00,"6,299.16"
"Feb. 27, 2014",Payment for Invoice no. 29 - Bell Canada,0.00,800.00,"5,499.16"
"March 6, 2014",Invoice no. 61 - Giftagram,150.00,0.00,"5,649.16"
"March 11, 2014",Payment for Invoice no. 60 - Canadian Youth Business Foundation,0.00,500.00,"5,149.16"
"March 23, 2014",Payment for Invoice no. 40 - Air Canada,0.00,800.00,"4,349.16"
"March 26, 2014",Invoice no. 62 - Royal Bank of Canada,162.66,0.00,"4,511.82"
"April 4, 2014",Invoice no. 63 - Accenture Inc.,"3,000.00",0.00,"7,511.82"
"April 8, 2014",Invoice no. 64 - Procter & Gamble,200.00,0.00,"7,711.82"
"July 28, 2014",Invoice no. 65 - Tesla Motors,500.00,0.00,"8,211.82"
"July 28, 2014",Invoice no. 66 - PepsiCo Beverages Canada,"2,250.00",0.00,"10,461.82"
"Aug. 11, 2014",Invoice no. 68 - Applanix,800.00,0.00,"11,261.82"
"Aug. 11, 2014",Invoice no. 69 - Yelp,438.52,0.00,"11,700.34"
"Aug. 12, 2014",Payment for Invoice no. 65 - Tesla Motors,0.00,500.00,"11,200.34"
"Aug. 14, 2014",Invoice no. 70 - Microsoft,"1,700.00",0.00,"12,900.34"
"Aug. 15, 2014",Payment for Invoice no. 70 - Microsoft,0.00,"1,700.00","11,200.34"
"Aug. 18, 2014",Invoice no. 71 - CI Investments,800.00,0.00,"12,000.34"
"Sept. 1, 2014",Invoice no. 72 - Google,"1,500.00",0.00,"13,500.34"
"Sept. 5, 2014",Payment for Invoice no. 68 - Applanix,0.00,800.00,"12,700.34"
"Sept. 5, 2014",Payment for Invoice no. 72 - Google,0.00,"1,500.00","11,200.34"
"Sept. 9, 2014",Invoice no. 73 - Unilever,800.00,0.00,"12,000.34"
"Sept. 12, 2014",Payment for Invoice no. 73 - Unilever,0.00,800.00,"11,200.34"
"Sept. 18, 2014",Invoice no. 75 - Holcim,800.00,0.00,"12,000.34"
"Sept. 18, 2014",Invoice no. 74 - Yahoo,700.00,0.00,"12,700.34"
"Sept. 19, 2014",Invoice no. 76 -  ITG Canada Corp,800.00,0.00,"13,500.34"
"Sept. 22, 2014",Invoice no. 77 - Shell Canada,800.00,0.00,"14,300.34"
"Sept. 23, 2014",Invoice no. 78 - Ultimate Software ,"1,000.00",0.00,"15,300.34"
"Sept. 24, 2014",Payment for Invoice no. 74 - Yahoo,0.00,700.00,"14,600.34"
"Sept. 28, 2014",Invoice no. 79 - Pivotal Labs,"1,000.00",0.00,"15,600.34"
"Oct. 1, 2014",Payment for Invoice no. 77 - Shell Canada,0.00,800.00,"14,800.34"
"Oct. 6, 2014",Invoice no. 81 - Microsoft,"1,000.00",0.00,"15,800.34"
"Oct. 6, 2014",Invoice no. 82 - Procter and Gamble,400.00,0.00,"16,200.34"
"Oct. 6, 2014",Invoice no. 80 - Citi Bank,850.00,0.00,"17,050.34"
"Oct. 7, 2014",Payment for Invoice no. 69 - Yelp,0.00,438.52,"16,611.82"
"Oct. 7, 2014",Payment for Invoice no. 62 - Royal Bank of Canada,0.00,162.66,"16,449.16"
"Oct. 7, 2014",Payment for Invoice no. 66 - PepsiCo Beverages Canada,0.00,"2,250.00","14,199.16"
"Oct. 7, 2014",Payment for Invoice no. 61 - Giftagram,0.00,150.00,"14,049.16"
"Oct. 7, 2014",Payment for Invoice no. 81 - Microsoft,0.00,"1,000.00","13,049.16"
"Oct. 14, 2014",Invoice no. 83 - Desire2Learn,800.00,0.00,"13,849.16"
"Oct. 15, 2014",Payment for Invoice no. 82 - Procter and Gamble,0.00,400.00,"13,449.16"
"Oct. 16, 2014",Payment for Invoice no. 41 - CIBC,0.00,800.00,"12,649.16"
"Oct. 28, 2014",Payment for Invoice no. 79 - Pivotal Labs,0.00,"1,000.00","11,649.16"
"Oct. 31, 2014",Invoice no. 84 - Ceridian,"1,000.00",0.00,"12,649.16"
"Nov. 12, 2014","Invoice no. 85 - Dragados Canada, Inc.",800.00,0.00,"13,449.16"
"Nov. 13, 2014",Invoice no. 86 - Top Hat Monocle Inc.,850.00,0.00,"14,299.16"
"Nov. 14, 2014",Invoice no. 87 - CGI ISMS Inc.,800.00,0.00,"15,099.16"
"Nov. 20, 2014",Invoice no. 89 - Citi Canada Technology Services,800.00,0.00,"15,899.16"
"Nov. 24, 2014",Invoice no. 90 - Zipcar Inc,450.00,0.00,"16,349.16"
"Nov. 25, 2014",Payment for Invoice no. 78 - Ultimate Software ,0.00,"1,000.00","15,349.16"
"Nov. 25, 2014",Invoice no. 91 - GuruLink Inc,250.00,0.00,"15,599.16"
"Nov. 26, 2014",Invoice no. 92 - Modiface,"4,000.00",0.00,"19,599.16"
"Dec. 2, 2014",Invoice no. 95 - Bubl Technology Inc.,250.00,0.00,"19,849.16"
"Dec. 2, 2014",Invoice no. 96 - TunnelBear,250.00,0.00,"20,099.16"
"Dec. 2, 2014",Payment for Invoice no. 94 - Addictive Mobility,0.00,250.00,"19,849.16"
"Dec. 2, 2014",Invoice no. 93 - GroupBy Inc.,250.00,0.00,"20,099.16"
"Dec. 2, 2014",Invoice no. 94 - Addictive Mobility,250.00,0.00,"20,349.16"
"Dec. 3, 2014",Payment for Invoice no. 96 - TunnelBear,0.00,250.00,"20,099.16"
"Dec. 4, 2014",Invoice no. 97 - Uken Games,250.00,0.00,"20,349.16"
"Dec. 6, 2014",Invoice no. 99 - nModal,250.00,0.00,"20,599.16"
"Dec. 6, 2014",Invoice no. 98 - TabbleDabble,250.00,0.00,"20,849.16"
"Dec. 7, 2014",Payment for Invoice no. 99 - nModal,0.00,250.00,"20,599.16"
"Dec. 8, 2014",Payment for Invoice no. 97 - Uken Games,0.00,250.00,"20,349.16"
"Dec. 8, 2014",Payment for Invoice no. 98 - TabbleDabble,0.00,250.00,"20,099.16"
"Dec. 9, 2014",Invoice no. 100 - Nymi,150.00,0.00,"20,249.16"
"Dec. 9, 2014",Invoice no. 101 - Casale Media,850.00,0.00,"21,099.16"
"Dec. 10, 2014",Invoice no. 102 - Interface Biologics,250.00,0.00,"21,349.16"
"Dec. 15, 2014",Invoice no. 104 - Unata,250.00,0.00,"21,599.16"
"Dec. 15, 2014",Invoice no. 105 - Security Compass,250.00,0.00,"21,849.16"
"Dec. 15, 2014",Invoice no. 106 - Weebly,850.00,0.00,"22,699.16"
"Dec. 16, 2014",Invoice no. 108 - Accenture Inc.,800.00,0.00,"23,499.16"
"Dec. 16, 2014",Invoice no. 107 - Keyobi,250.00,0.00,"23,749.16"
"Dec. 17, 2014",Invoice no. 110 - Kasbee Media,"1,800.00",0.00,"25,549.16"
"Dec. 17, 2014",Payment for Invoice no. 106 - Weebly,0.00,850.00,"24,699.16"
"Dec. 17, 2014",Invoice no. 109 - SAP Canada Inc.,800.00,0.00,"25,499.16"
"Dec. 17, 2014",Invoice no. 112 - CampBrain,250.00,0.00,"25,749.16"
"Dec. 17, 2014",Payment for Invoice no. 86 - Top Hat Monocle Inc.,0.00,850.00,"24,899.16"
"Dec. 17, 2014",Invoice no. 111 - Kasbee Media,"1,800.00",0.00,"26,699.16"
"Dec. 18, 2014",Payment for Invoice no. 112 - CampBrain,0.00,250.00,"26,449.16"
"Dec. 19, 2014",Payment for Invoice no. 101 - Casale Media,0.00,850.00,"25,599.16"
"Dec. 22, 2014",Invoice no. 113 - Dimaris,250.00,0.00,"25,849.16"
"Dec. 24, 2014",Invoice no. 114 - Tract Systems,250.00,0.00,"26,099.16"
"Dec. 29, 2014",Invoice no. 115 - Mars Canada Inc.,800.00,0.00,"26,899.16"
"Dec. 29, 2014",Invoice no. 116 - Aversan Inc.,800.00,0.00,"27,699.16"
"Jan. 5, 2015",Payment for Invoice no. 107 - Keyobi,0.00,250.00,"27,449.16"
"Jan. 5, 2015",Invoice no. 117 - Wirkn,800.00,0.00,"28,249.16"
"Jan. 5, 2015",Payment for Invoice no. 93 - GroupBy Inc.,0.00,250.00,"27,999.16"
"Jan. 5, 2015",Payment for Invoice no. 115 - Mars Canada Inc.,0.00,800.00,"27,199.16"
"Jan. 5, 2015",Payment for Invoice no. 102 - Interface Biologics,0.00,250.00,"26,949.16"
"Jan. 6, 2015",Invoice no. 118 - SurfEasy,850.00,0.00,"27,799.16"
"Jan. 7, 2015",Invoice no. 119 - Tata Consultancy Services,800.00,0.00,"28,599.16"
"Jan. 8, 2015",Invoice no. 125 - Trane Canada ULC,800.00,0.00,"29,399.16"
"Jan. 8, 2015",Invoice no. 124 - INCubes,250.00,0.00,"29,649.16"
"Jan. 8, 2015",Payment for Invoice no. 124 - INCubes,0.00,250.00,"29,399.16"
"Jan. 8, 2015",Payment for Invoice no. 118 - SurfEasy,0.00,850.00,"28,549.16"
"Jan. 8, 2015",Invoice no. 121 - Architech,250.00,0.00,"28,799.16"
"Jan. 8, 2015",Invoice no. 123 - TapGen,250.00,0.00,"29,049.16"
"Jan. 8, 2015",Invoice no. 120 - Dashboard,850.00,0.00,"29,899.16"
"Jan. 9, 2015",Payment for Invoice no. 113 - Dimaris,0.00,250.00,"29,649.16"
"Jan. 9, 2015",Payment for Invoice no. 113 - Dimaris,0.00,250.00,"29,399.16"
"Jan. 9, 2015",Payment for Invoice no. 123 - TapGen,0.00,250.00,"29,149.16"
"Jan. 9, 2015",Invoice no. 127 - ThinkData Works Inc.,250.00,0.00,"29,399.16"
"Jan. 9, 2015",Payment for Invoice no. 121 - Architech,0.00,250.00,"29,149.16"
"Jan. 9, 2015",Invoice no. 126 - TripAdvisor,800.00,0.00,"29,949.16"
"Jan. 10, 2015",Payment for Invoice no. 127 - ThinkData Works Inc.,0.00,250.00,"29,699.16"
"Jan. 13, 2015",Invoice no. 128 - Blanclink,250.00,0.00,"29,949.16"
"Jan. 13, 2015",Payment for Invoice no. 129 - Bitmaker Labs,0.00,150.00,"29,799.16"
"Jan. 13, 2015",Invoice no. 129 - Bitmaker Labs,150.00,0.00,"29,949.16"
"Jan. 14, 2015",Payment for Invoice no. 120 - Dashboard,0.00,850.00,"29,099.16"
"Jan. 14, 2015",Payment for Invoice no. 133 - JUICE Mobile,0.00,250.00,"28,849.16"
"Jan. 14, 2015",Invoice no. 132 - BlueDot,250.00,0.00,"29,099.16"
"Jan. 14, 2015",Payment for Invoice no. 130 - SkyPrep,0.00,250.00,"28,849.16"
"Jan. 14, 2015",Invoice no. 133 - JUICE Mobile,250.00,0.00,"29,099.16"
"Jan. 14, 2015",Invoice no. 134 - Wirkn,250.00,0.00,"29,349.16"
"Jan. 14, 2015",Invoice no. 131 - Bnotions,800.00,0.00,"30,149.16"
"Jan. 14, 2015",Invoice no. 130 - SkyPrep,250.00,0.00,"30,399.16"
"Jan. 15, 2015",Invoice no. 135 - Method Integration Inc.,150.00,0.00,"30,549.16"
"Jan. 15, 2015",Payment for Invoice no. 128 - Blanclink,0.00,250.00,"30,299.16"
"Jan. 17, 2015","Payment for Invoice no. 85 - Dragados Canada, Inc.",0.00,800.00,"29,499.16"
"Jan. 17, 2015",Payment for Invoice no. 71 - CI Investments,0.00,800.00,"28,699.16"
"Jan. 17, 2015",Invoice no. 136 - Obero Solutions,250.00,0.00,"28,949.16"
"Jan. 17, 2015",Invoice no. 137 - Readyportal,250.00,0.00,"29,199.16"
"Jan. 17, 2015",Payment for Invoice no. 117 - Wirkn,0.00,800.00,"28,399.16"
"Jan. 17, 2015",Payment for Invoice no. 63 - Accenture Inc.,0.00,"3,000.00","25,399.16"
"Jan. 17, 2015",Invoice no. 139 - Kiwi Wearables,250.00,0.00,"25,649.16"
"Jan. 17, 2015",Payment for Invoice no. 89 - Citi Canada Technology Services,0.00,800.00,"24,849.16"
"Jan. 17, 2015",Payment for Invoice no. 90 - Zipcar Inc,0.00,450.00,"24,399.16"
"Jan. 17, 2015",Payment for Invoice no. 84 - Ceridian,0.00,"1,000.00","23,399.16"
"Jan. 17, 2015",Payment for Invoice no. 76 -  ITG Canada Corp,0.00,800.00,"22,599.16"
"Jan. 17, 2015",Payment for Invoice no. 83 - Desire2Learn,0.00,800.00,"21,799.16"
"Jan. 18, 2015",Payment for Invoice no. 135 - Method Integration Inc.,0.00,150.00,"21,649.16"
"Jan. 19, 2015",Payment for Invoice no. 140 - Mercatus Technologies,0.00,250.00,"21,399.16"
"Jan. 19, 2015",Payment for Invoice no. 134 - Wirkn,0.00,250.00,"21,149.16"
"Jan. 19, 2015",Payment for Invoice no. 132 - BlueDot,0.00,250.00,"20,899.16"
"Jan. 19, 2015",Payment for Invoice no. 143 - Tulip Retail,0.00,250.00,"20,649.16"
"Jan. 19, 2015",Invoice no. 140 - Mercatus Technologies,250.00,0.00,"20,899.16"
"Jan. 19, 2015",Invoice no. 141 - FlashStock,250.00,0.00,"21,149.16"
"Jan. 19, 2015",Invoice no. 143 - Tulip Retail,250.00,0.00,"21,399.16"
"Jan. 19, 2015",Invoice no. 144 - I-CUBE,150.00,0.00,"21,549.16"
"Jan. 19, 2015",Payment for Invoice no. 141 - FlashStock,0.00,250.00,"21,299.16"
"Jan. 19, 2015",Payment for Invoice no. 91 - GuruLink Inc,0.00,250.00,"21,049.16"
"Jan. 20, 2015",Payment for Invoice no. 144 - I-CUBE,0.00,150.00,"20,899.16"
"Jan. 20, 2015",Invoice no. 148 - Flixel Photos Inc,250.00,0.00,"21,149.16"
"Jan. 20, 2015",Invoice no. 146 - Yugen,250.00,0.00,"21,399.16"
"Jan. 20, 2015",Invoice no. 149 - Rica Analytics,250.00,0.00,"21,649.16"
"Jan. 20, 2015",Invoice no. 150 - Finding Engineers Inc.,250.00,0.00,"21,899.16"
"Jan. 20, 2015",Payment for Invoice no. 136 - Obero Solutions,0.00,250.00,"21,649.16"
"Jan. 20, 2015",Invoice no. 147 - Accelerator Centre,250.00,0.00,"21,899.16"
"Jan. 20, 2015",Invoice no. 145 - Sensassure,250.00,0.00,"22,149.16"
"Jan. 21, 2015",Invoice no. 152 - Digiflare,250.00,0.00,"22,399.16"
"Jan. 21, 2015",Invoice no. 154 - Sago Sago,250.00,0.00,"22,649.16"
"Jan. 21, 2015",Invoice no. 153 - Wealthsimple,250.00,0.00,"22,899.16"
"Jan. 21, 2015",Payment for Invoice no. 145 - Sensassure,0.00,250.00,"22,649.16"
"Jan. 22, 2015",Payment for Invoice no. 152 - Digiflare,0.00,250.00,"22,399.16"
"Jan. 22, 2015",Payment for Invoice no. 148 - Flixel Photos Inc,0.00,250.00,"22,149.16"
"Jan. 22, 2015",Payment for Invoice no. 39 - University of Toronto Institute for Multidisciplinary Design and Innovation,0.00,450.00,"21,699.16"
"Jan. 22, 2015",Invoice no. 155 - Apartmate,150.00,0.00,"21,849.16"
"Jan. 23, 2015",Payment for Invoice no. 104 - Unata,0.00,250.00,"21,599.16"
"Jan. 23, 2015",Invoice no. 158 - Flybits,250.00,0.00,"21,849.16"
"Jan. 23, 2015",Payment for Invoice no. 92 - Modiface,0.00,"4,000.00","17,849.16"
"Jan. 24, 2015",Invoice no. 159 - Nanoleaf,250.00,0.00,"18,099.16"
"Jan. 26, 2015",Invoice no. 161 - AgileBits,250.00,0.00,"18,349.16"
"Jan. 26, 2015",Payment for Invoice no. 159 - Nanoleaf,0.00,250.00,"18,099.16"
"Jan. 26, 2015",Payment for Invoice no. 125 - Trane Canada ULC,0.00,800.00,"17,299.16"
"Jan. 26, 2015",Invoice no. 160 - WeMesh,"4,500.00",0.00,"21,799.16"
"Jan. 26, 2015",Payment for Invoice no. 149 - Rica Analytics,0.00,250.00,"21,549.16"
"Jan. 27, 2015",Invoice no. 162 - Forcare,250.00,0.00,"21,799.16"
"Jan. 27, 2015",Payment for Invoice no. 163 - Grace Soyao,0.00,125.00,"21,674.16"
"Jan. 27, 2015",Invoice no. 163 - Grace Soyao,125.00,0.00,"21,799.16"
"Jan. 28, 2015",Payment for Invoice no. 162 - Forcare,0.00,250.00,"21,549.16"
"Jan. 29, 2015",Payment for Invoice no. 17 - CGI ISMS Inc.,0.00,800.00,"20,749.16"
"Jan. 29, 2015",Payment for Invoice no. 131 - Bnotions,0.00,800.00,"19,949.16"
"Jan. 29, 2015",Payment for Invoice no. 116 - Aversan Inc.,0.00,800.00,"19,149.16"
"Jan. 29, 2015",Invoice no. 164 - Parakweet,100.00,0.00,"19,249.16"
"Jan. 29, 2015",Payment for Invoice no. 87 - CGI ISMS Inc.,0.00,800.00,"18,449.16"
"Feb. 3, 2015",Payment for Invoice no. 105 - Security Compass,0.00,250.00,"18,199.16"
"Feb. 6, 2015",Payment for Invoice no. 158 - Flybits,0.00,250.00,"17,949.16"
"Feb. 8, 2015",Payment for Invoice no. 154 - Sago Sago,0.00,250.00,"17,699.16"
"Feb. 13, 2015",Payment for Invoice no. 164 - Parakweet,0.00,100.00,"17,599.16"
"Feb. 18, 2015",Payment for Invoice no. 155 - Apartmate,0.00,150.00,"17,449.16"
"Feb. 18, 2015",Payment for Invoice no. 153 - Wealthsimple,0.00,250.00,"17,199.16"
"Feb. 22, 2015",Payment for Invoice no. 80 - Citi Bank,0.00,850.00,"16,349.16"
"March 2, 2015",Payment for Invoice no. 161 - AgileBits,0.00,250.00,"16,099.16"
"March 2, 2015",Payment for Invoice no. 147 - Accelerator Centre,0.00,250.00,"15,849.16"
"March 2, 2015",Payment for Invoice no. 147 - Accelerator Centre,0.00,250.00,"15,599.16"
"March 4, 2015",Payment for Invoice no. 160 - WeMesh,0.00,"4,500.00","11,099.16"
"March 5, 2015",Payment for Invoice no. 146 - Yugen,0.00,250.00,"10,849.16"
"July 23, 2015",Invoice no. 165 - Google,"1,000.00",0.00,"11,849.16"
